INSERT INTO hallgato VALUES ('U5H81I', 'Rhett', 'Jad', 'D6D5D2OP', '+36206503247', 'Jad2a5f@gmail.com', '662ac2966625b15c9f0c756d36b4b86a94147fde166cc943c3d7b352b7e6e909', TO_DATE('1970-03-05', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('GDF3IV', 'Yusuf', 'Andres', '1CBOH2PH', '+36307683835', 'AndresxD1x@gmail.com', '84d4dce0d11bc319bc61143cd0849a1464cd7dcef4c73393d155fb27879df26b', TO_DATE('1973-02-15', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('6BKSYD', 'Matthew', 'Reyansh', 'KZ3GENXN', '+36704880893', 'Reyansh5AKR@gmail.com', 'f3492e849f17ee00c64e84b61a398593fde3df4503f86156c7d8ef4467502211', TO_DATE('1997-11-22', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('IKX6PK', 'Lucca', 'Jericho', 'SJ4FZCL5', '+36302849759', 'Jericho1Xkl@gmail.com', 'c7a522155613a8d980e205c6563b00ad85a9979b3d1410ea113165a611ecef7c', TO_DATE('1987-12-10', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('09BU8U', 'Jesse', 'Manuel', 'IQ1Q9JR5', '+36201619485', 'ManuelFFtV@gmail.com', '33ed3c57cf4053b57161686804f97e6fc15efc2b864d6d8970529e2db42342de', TO_DATE('1961-03-20', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('W8VUMS', 'Kaleb', 'Flynn', '9T2P0126', '+36705266528', 'FlynnThnu@gmail.com', '64b2ad239fd817de39622700ffd480a68a0dc3d234a338f1aed097aec9c1ab47', TO_DATE('1962-06-21', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('V9DRQZ', 'Legend', 'Kendrick', 'LG2PV7YB', '+36204319460', 'KendrickQofb@gmail.com', 'd45a7a7607ee853188de8fb9029320c2cecd60131265a7fe66995ab7178aca04', TO_DATE('1978-09-14', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('I1SLCO', 'Rocco', 'Ryland', 'QPCSWS4Z', '+36703773437', 'RylandmcBV@gmail.com', 'd65ce9409566db6a768a8d60278a6f1ea7760469c3d8a59eb51e1be7aba3536a', TO_DATE('1974-03-09', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('1ZVSNG', 'Griffin', 'Jaziel', 'ZSP1H8H3', '+36709291529', 'JazielSrtT@gmail.com', '63b6ed1193f0546a6aee96c7fffc86616396e3abbcf93cbf0283ca469d999f15', TO_DATE('1984-02-13', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('EVW4WF', 'Myles', 'Uriah', 'F4NDRMVS', '+36206189278', 'UriahrMJj@gmail.com', '9c79f4df2f7eed4eae73569fdf3ea1e436a07834d157884a2c35173a46b3034c', TO_DATE('1998-12-02', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('9N5WYU', 'Jaxen', 'Jett', 'VKBUWSAA', '+36304276785', 'Jettx02V@gmail.com', 'e158787c3671046f4428680491a1756ea1c0c59d21603d9f7c58f559971caebd', TO_DATE('1960-11-08', 'yyyy-mm-dd'));
